"URL | Name"|"# of 
locations"|States
"http://supermarketpage.com/supermarkets/County-Market-14778.htm | County Market"|37|AR, IA, IL, IN, LA, MN, MS, MT, PA, WI|
"http://supermarketpage.com/supermarkets/Crowley-Foods-3368.htm | Crowley Foods"|9|NY, VA|
"http://supermarketpage.com/supermarkets/Ctown-15479.htm | Ctown"|4|NY|
"http://supermarketpage.com/supermarkets/Cub-Foods-22198.htm | Cub Foods"|66|GA, IA, IL, MN, OH, WI|
"http://supermarketpage.com/supermarkets/Culloden-Independent-Supermarket-4181.htm | Culloden Independent Supermarket"|2|WV|
"http://supermarketpage.com/supermarkets/Culloden-Independent-Supermarket-Route-60-4211.htm | Culloden Independent Supermarket Route 60"|1||
"http://supermarketpage.com/supermarkets/Cumberland-Farms-12175.htm | Cumberland Farms"|14|CT, FL, MA, NY, PA|
"http://supermarketpage.com/supermarkets/D-B-Foods-8989.htm | D & B Foods"|2|IA, MN|
"http://supermarketpage.com/supermarkets/D-D-Super-Mkt.-2264.htm | D & D Super Mkt."|2|IN|
"http://supermarketpage.com/supermarkets/D-J-Supermarket-Corp-4263.htm | D & J Supermarket Corp"|2|FL|
"http://supermarketpage.com/supermarkets/D-M-Family-Foods-3324.htm | D & M Family Foods"|4|KY|
"http://supermarketpage.com/supermarkets/D-M-Supermarket-3228.htm | D & M Supermarket"|2|CT, MI|
"http://supermarketpage.com/supermarkets/D-R-Market-23502.htm | D & R Market"|2|IN, MA|
"http://supermarketpage.com/supermarkets/D-Agostinos-Supermarket-21721.htm | D' Agostinos Supermarket"|24|NY|
"http://supermarketpage.com/supermarkets/Dabo-Foods-10466.htm | Dabo Foods"|3|OR|
"http://supermarketpage.com/supermarkets/Dahls-Foods-9738.htm | Dahls Foods"|9|IA|
"http://supermarketpage.com/supermarkets/Dakota-Natural-Foods-Inc-13405.htm | Dakota Natural Foods Inc"|5|MN|
"http://supermarketpage.com/supermarkets/Dannys-Fine-Foods-16043.htm | Danny's Fine Foods"|3|MI|
"http://supermarketpage.com/supermarkets/Dans-Super-Market-17578.htm | Dans Super Market"|12|ND, UT|
"http://supermarketpage.com/supermarkets/Dans-Supreme-Supermarket-15364.htm | Dans Supreme Supermarket"|5|NY|
"http://supermarketpage.com/supermarkets/Dash-Markets-14862.htm | Dash Markets"|4||
"http://supermarketpage.com/supermarkets/Daves-Supermarket-14759.htm | Dave's Supermarket"|16|IL, MO, NY, OH, PA, WI|
"http://supermarketpage.com/supermarkets/Davids-Supermarket-23309.htm | Davids Supermarket"|33|TX|
"http://supermarketpage.com/supermarkets/Davisco-Foods-11630.htm | Davisco Foods"|6|GA, MN, SD|
"http://supermarketpage.com/supermarkets/Dawn-Foods-8307.htm | Dawn Foods"|3|AR|
